"phase","cards","order","outcomeArray","response","answer","AmyResponse","BenResponse","corAnswer","round","subj","outcome","cards_iso","RT","points","exp_time","number","inference_level","should_know","numRound","age","gender"
1,"A888AA","Ben,You,Amy","[[False, False, False], [False, True]]","False","A8","False","False","False",1,1,1,"A8AA88",87.009,5,27.6,25,1,4,2,29,0
1,"A888AA","Ben,You,Amy","[[False, False, False], [False, True]]","True","A8","","False","True",2,1,1,"A8AA88",5.81,5,27.6,25,1,4,2,29,0
2,"88A8AA","You,Amy,Ben","[[False, False, False], [False, True, False], [False]]","False","A8","False","False","False",1,1,0,"AAA888",12.25,5,27.6,25,4,10,3,29,0
2,"88A8AA","You,Amy,Ben","[[False, False, False], [False, True, False], [False]]","False","A8","True","False","False",2,1,0,"AAA888",5.5,5,27.6,25,4,10,3,29,0
2,"88A8AA","You,Amy,Ben","[[False, False, False], [False, True, False], [False]]","True","A8","","","False",3,1,0,"AAA888",3.617,5,27.6,25,4,10,3,29,0
3,"AA88AA","Ben,You,Amy","[[False, False, True], [True, True]]","False","AA","True","False","False",1,1,1,"AA88AA",39.045,5,27.6,25,1,4,2,29,0
3,"AA88AA","Ben,You,Amy","[[False, False, True], [True, True]]","True","AA","","True","True",2,1,1,"AA88AA",6.174,5,27.6,25,1,4,2,29,0
4,"A8A8AA","Amy,Ben,You","[[False, False, False], [True, False, True]]","False","","False","False","False",1,1,0,"A8A8AA",14.664,5,27.6,25,4,6,2,29,0
4,"A8A8AA","Amy,Ben,You","[[False, False, False], [True, False, True]]","False","","True","False","True",2,1,0,"A8A8AA",2.14,5,27.6,25,4,6,2,29,0
5,"88AAA8","Ben,You,Amy","[[False, False, False], [True, True]]","False","","False","False","False",1,1,0,"AA88A8",1.488,5,27.6,25,2,5,2,29,0
5,"88AAA8","Ben,You,Amy","[[False, False, False], [True, True]]","False","","","True","True",2,1,0,"AA88A8",1.647,5,27.6,25,2,5,2,29,0
6,"AAAA88","You,Amy,Ben","[[False, False, True], [True]]","False","","False","True","False",1,1,0,"AAAA88",1.453,5,27.6,25,1,4,2,29,0
6,"AAAA88","You,Amy,Ben","[[False, False, True], [True]]","False","","","","True",2,1,0,"AAAA88",2.41,5,27.6,25,1,4,2,29,0
7,"88AAAA","Amy,Ben,You","[[False, False, True]]","True","88","False","False","True",1,1,1,"AA8888",1.499,5,27.6,25,0,1,1,29,0
8,"A8AAA8","You,Amy,Ben","[[False, False, False], [True]]","False","","False","False","False",1,1,0,"A8AAA8",2.968,5,27.6,25,2,4,2,29,0
8,"A8AAA8","You,Amy,Ben","[[False, False, False], [True]]","False","","","","True",2,1,0,"A8AAA8",1.851,5,27.6,25,2,4,2,29,0
9,"A8A8A8","Amy,Ben,You","[[False, False, False], [False, True, False], [False, True, False]]","False","","False","False","False",1,1,1,"A8A8A8",1.328,5,27.6,25,3,10,3,29,0
9,"A8A8A8","Amy,Ben,You","[[False, False, False], [False, True, False], [False, True, False]]","False","","False","True","False",2,1,1,"A8A8A8",1.477,5,27.6,25,3,10,3,29,0
9,"A8A8A8","Amy,Ben,You","[[False, False, False], [False, True, False], [False, True, False]]","False","","False","True","False",3,1,1,"A8A8A8",1.327,5,27.6,25,3,10,3,29,0
10,"AAA8A8","Amy,Ben,You","[[False, False, False], [False, True, False], [False, True, False]]","False","","False","False","False",1,1,1,"AAA8A8",1.125,5,27.6,25,3,10,3,29,0
10,"AAA8A8","Amy,Ben,You","[[False, False, False], [False, True, False], [False, True, False]]","False","","False","True","False",2,1,1,"AAA8A8",1.259,5,27.6,25,3,10,3,29,0
10,"AAA8A8","Amy,Ben,You","[[False, False, False], [False, True, False], [False, True, False]]","False","","False","True","False",3,1,1,"AAA8A8",1.007,5,27.6,25,3,10,3,29,0
1,"A8AAA8","You,Amy,Ben","[[False, False, False], [True]]","False","","False","False","False",1,2,0,"A8AAA8",4.403,6,12.7,47,2,4,2,22,1
1,"A8AAA8","You,Amy,Ben","[[False, False, False], [True]]","False","","","","True",2,2,0,"A8AAA8",96.678,6,12.7,47,2,4,2,22,1
2,"AA88A8","Ben,You,Amy","[[False, False, False], [True, True]]","False","AA","False","False","False",1,2,1,"AA88A8",2.358,6,12.7,47,2,5,2,22,1
2,"AA88A8","Ben,You,Amy","[[False, False, False], [True, True]]","True","AA","","True","True",2,2,1,"AA88A8",21.329,6,12.7,47,2,5,2,22,1
3,"A8A888","You,Amy,Ben","[[False, False, False], [False, True, False], [False]]","False","AA","False","False","False",1,2,0,"A8A8AA",5.282,6,12.7,47,4,10,3,22,1
3,"A8A888","You,Amy,Ben","[[False, False, False], [False, True, False], [False]]","True","AA","","","False",2,2,0,"A8A8AA",4.731,6,12.7,47,4,10,3,22,1
4,"AAAA88","Amy,Ben,You","[[False, True, True]]","True","AA","False","True","True",1,2,1,"AAAA88",9.134,6,12.7,47,1,3,1,22,1
5,"88A8AA","You,Amy,Ben","[[False, False, False], [False, True, False], [False]]","False","88","False","False","False",1,2,0,"AAA888",3.039,6,12.7,47,4,10,3,22,1
5,"88A8AA","You,Amy,Ben","[[False, False, False], [False, True, False], [False]]","True","88","","","False",2,2,0,"AAA888",20.595,6,12.7,47,4,10,3,22,1
6,"A8A8A8","Amy,Ben,You","[[False, False, False], [False, True, False], [False, True, False]]","False","","False","False","False",1,2,1,"A8A8A8",1.511,6,12.7,47,3,10,3,22,1
6,"A8A8A8","Amy,Ben,You","[[False, False, False], [False, True, False], [False, True, False]]","False","","False","True","False",2,2,1,"A8A8A8",15.812,6,12.7,47,3,10,3,22,1
6,"A8A8A8","Amy,Ben,You","[[False, False, False], [False, True, False], [False, True, False]]","False","","False","True","False",3,2,1,"A8A8A8",3.049,6,12.7,47,3,10,3,22,1
7,"88AAAA","Ben,You,Amy","[[False, True]]","True","88","","False","True",1,2,1,"AA8888",2.731,6,12.7,47,0,1,1,22,1
8,"A8AA88","You,Amy,Ben","[[False, False, False], [True]]","False","A8","False","False","False",1,2,1,"A8AA88",3.149,6,12.7,47,1,4,2,22,1
